no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-35,-49,-56,-62,-9.21068,-25.515562
,-35,-52,-58,-65,-10.3325,-24.033665
,-39,-53,-63,-66,-13.9373,-23.132466
,-40,-51,-66,-64,-14.2147,-24.803964
,-36,-50,-55,-63,-8.58088,-24.368463
,-40,-52,-63,-66,-12.5115,-23.121466
,-43,-51,-72,-64,-16.5792,-23.633164
,-42,-50,-71,-63,-16.4929,-25.568163
,-38,-57,-61,-72,-13.6465,-17.348472
,-38,-54,-61,-68,-13.4008,-20.767768
,-37,-52,-59,-65,-11.567,-23.322565
,-39,-52,-61,-66,-13.4856,-22.173566
,-44,-53,-68,-68,-16.7033,-20.611668
,-50,-48,-82,-61,-25.5915,-23.808661
,-38,-56,-58,-70,-11.3952,-20.61147
,-40,-53,-66,-66,-13.9057,-22.304166
,-42,-53,-63,-66,-17.206,-23.062266
,-42,-55,-69,-69,-17.7718,-21.961169
,-48,-56,-77,-71,-24.7798,-19.963471
,-48,-53,-76,-66,-23.6269,-21.528266
,-43,-51,-64,-65,-15.8753,-24.307565
,-43,-55,-65,-69,-16.2335,-20.664469
,-45,-51,-72,-65,-19.3246,-23.952865
,-44,-53,-68,-67,-18.2053,-22.789467
,-46,-52,-71,-65,-22.0038,-24.162565
,-46,-48,-72,-61,-21.3995,-26.64861
,-41,-49,-60,-62,-15.5289,-26.047962
,-40,-49,-60,-62,-13.8107,-25.869662
,-39,-52,-58,-65,-11.4026,-23.596165
,-36,-51,-55,-64,-8.21015,-23.901764
,-36,-50,-63,-63,-10.2931,-24.833763
,-32,-53,-56,-66,-6.99951,-23.701666
,-33,-48,-54,-61,-7.89659,-24.687761
,-41,-53,-68,-67,-15.4624,-20.569867
,-38,-49,-61,-62,-11.6298,-25.502962
,-37,-51,-57,-64,-8.16936,-24.526864
,-42,-46,-60,-59,-12.1057,-27.041359
,-50,-51,-87,-64,-25.7735,-23.933664
,-44,-53,-72,-66,-19.4217,-22.988366
,-40,-53,-65,-66,-15.3477,-24.69666
,-39,-54,-61,-67,-14.1267,-21.521467
,-45,-54,-69,-69,-20.3404,-19.235869
,-46,-55,-76,-71,-21.8201,-19.983371
,-47,-55,-72,-69,-20.3799,-21.261469
,-45,-57,-68,-72,-17.6858,-15.872
,-49,-56,-78,-72,-23.5877,-19.725772
,-46,-55,-67,-70,-19.269,-20.57447
,-47,-55,-75,-69,-24.2207,-21.620769
,-45,-55,-70,-68,-21.1602,-23.003468
