no_of_samples;enb_rssi;ue_rssi;enb_rsrp;ue_rsrp;enb_pwr;ue_pwr
156;-49;-51;-70;-64;-21.5114;-23.909364
157;-49;-51;-70;-64;-21.5864;-23.871864
158;-47;-51;-70;-64;-21.7354;-23.981164
159;-47;-51;-71;-64;-21.8349;-24.035464
160;-48;-51;-73;-64;-21.8745;-24.080864
161;-49;-51;-74;-64;-22.0547;-24.048664
162;-50;-51;-77;-64;-22.0833;-23.832564
163;-50;-51;-72;-64;-22.3346;-23.946964
164;-50;-51;-71;-64;-22.3496;-24.015264
165;-47;-51;-70;-64;-21.8798;-23.933864
166;-47;-51;-70;-64;-21.6838;-24.087964
167;-45;-51;-69;-64;-19.8403;-24.303764
168;-48;-57;-70;-70;-22.4078;-18.97147
169;-48;-56;-75;-69;-22.1556;-20.296969
170;-49;-57;-71;-70;-21.7143;-20.03177
171;-49;-56;-70;-69;-21.5829;-20.217369
172;-48;-56;-70;-69;-22.287;-20.684869
173;-47;-56;-70;-69;-21.903;-20.660969
174;-48;-57;-72;-70;-23.083;-19.71997
175;-49;-56;-75;-70;-23.5927;-20.18297
176;-47;-58;-71;-71;-20.4785;-18.914571
177;-48;-57;-73;-70;-21.2621;-19.65067
178;-50;-58;-74;-71;-21.4908;-18.832771
179;-50;-57;-72;-70;-22.2218;-19.70747
180;-48;-57;-70;-70;-22.3305;-19.95717
181;-54;-58;-72;-73;-20.3477;-20.557473
182;;;;;;
183;-52;-54;-80;-67;-25.5943;-19.445667
184;-57;-53;-84;-67;-33.4578;-20.606167
185;-54;-55;-82;-68;-29.5887;-20.951168
186;-57;-54;-81;-68;-30.7253;-20.013868
187;-53;-54;-78;-67;-27.3184;-21.65967
188;-54;-54;-75;-67;-28.9337;-21.00767
189;-54;-54;-77;-68;-30.5203;-19.310368
190;-52;-54;-73;-68;-27.6169;-20.635868
191;-54;-54;-75;-68;-30.4005;-19.348668
192;-56;-54;-76;-67;-30.7205;-19.532867
193;-54;-54;-75;-67;-28.923;-19.635567
194;-55;-55;-73;-68;-27.9126;-18.805368
195;-52;-55;-73;-69;-28.1271;-18.496169
196;-52;-55;-73;-69;-28.3279;-18.392569
197;-52;-55;-73;-69;-28.2038;-18.369869
198;-52;-55;-73;-69;-28.1117;-18.528169
199;-54;-55;-73;-68;-28.1172;-19.044168
200;-57;-54;-76;-67;-31.0761;-19.495167
201;-53;-54;-75;-68;-29.8018;-19.353268
202;-53;-54;-75;-68;-30.1322;-19.248368
203;-53;-55;-75;-68;-29.4912;-18.855668
204;-54;-55;-74;-68;-29.2433;-18.813868
205;-55;-54;-74;-68;-29.1513;-19.211468
206;-54;-54;-75;-67;-30.0329;-19.358467
207;-51;-54;-73;-68;-27.6312;-19.283568
208;-51;-55;-73;-69;-27.7078;-18.650269
209;-52;-55;-73;-69;-27.7214;-18.444569
210;-54;-55;-73;-69;-27.8511;-18.365469
211;-55;-55;-73;-69;-27.8039;-18.362269
212;-51;-55;-73;-69;-27.3986;-18.562969
213;-52;-54;-73;-68;-28.602;-19.253468
214;-53;-54;-75;-68;-29.8217;-19.313368
215;-54;-54;-74;-68;-29.4708;-19.369168
216;-57;-54;-75;-68;-29.7198;-19.02668
217;-54;-55;-75;-68;-29.6926;-18.887168
218;-53;-55;-75;-68;-29.5781;-18.863268
219;-53;-54;-75;-68;-29.7222;-19.316168
220;-55;-54;-76;-67;-30.7052;-19.552667
221;-55;-54;-73;-68;-28.4793;-19.04468
222;-51;-53;-71;-67;-25.2964;-19.431767
223;-50;-52;-72;-65;-26.6347;-21.001465
224;-50;-53;-71;-66;-26.4477;-20.367366
225;-50;-52;-72;-65;-26.4797;-20.820665
226;-50;-52;-70;-66;-24.33;-20.767666
227;-53;-51;-70;-64;-26.3149;-21.563164
228;-51;-51;-73;-65;-27.141;-21.411165
229;-48;-52;-71;-65;-24.7725;-20.880365
230;-48;-53;-70;-66;-24.9706;-20.302566
231;-49;-53;-69;-66;-24.1655;-22.345366
232;-51;-52;-74;-66;-25.6305;-22.838866
233;-54;-52;-78;-66;-28.0025;-23.063166
234;-52;-53;-75;-66;-24.9174;-22.7466
235;-53;-55;-81;-68;-26.0738;-20.8768
236;-54;-55;-75;-69;-25.8038;-20.803269
237;-51;-56;-72;-69;-25.871;-20.439969
238;-51;-56;-73;-69;-26.0168;-20.294769
239;-51;-55;-73;-69;-26.3206;-20.464269
240;-52;-55;-74;-68;-26.7913;-21.028768
241;-54;-54;-79;-67;-28.593;-21.586767
242;-54;-54;-79;-68;-27.6977;-21.299768
243;-55;-54;-82;-68;-27.9871;-21.285368
244;-55;-55;-76;-68;-27.8128;-20.955968
245;-54;-55;-74;-68;-28.0444;-21.68
246;-53;-54;-74;-68;-28.3889;-21.463168
247;-55;-54;-79;-68;-30.2944;-21.225368
248;-52;-55;-74;-68;-26.6678;-21.032568
249;-53;-56;-75;-69;-27.1473;-20.3669
250;-54;-56;-78;-69;-27.0332;-20.200169
251;-54;-56;-81;-70;-26.9828;-20.09587
252;-55;-56;-75;-69;-27.08;-20.136669
253;-53;-56;-73;-69;-26.7;-20.443169
254;-54;-55;-75;-68;-29.395;-21.053468
255;-54;-55;-78;-68;-29.6756;-21.227168
256;-54;-55;-77;-68;-28.938;-21.071568
257;-54;-55;-77;-68;-27.9441;-20.880368
258;-54;-55;-78;-69;-27.9899;-20.744669
259;-56;-55;-76;-68;-28.6531;-20.830368
260;-56;-55;-75;-68;-29.3661;-20.952768
261;-54;-54;-76;-68;-28.4244;-21.378868
262;-52;-56;-72;-69;-26.9146;-20.523269
263;-52;-56;-73;-70;-27.3212;-20.00727
264;-53;-56;-75;-69;-28.0468;-20.262669
265;-55;-56;-79;-69;-29.3959;-20.192469
266;-54;-55;-79;-69;-27.3063;-20.73369
267;-54;-54;-80;-68;-27.2539;-21.143868
268;-58;-54;-81;-67;-32.8935;-22.159567
269;-56;-54;-80;-67;-30.8781;-22.891167
270;-53;-54;-74;-67;-27.9971;-21.816867
